wo_serial,wo_deal_name,wo_customer_code,wo_normalized_client,wo_sector,wo_owner,wo_po_date,matched_deal_row_id,matched_deal_name,matched_client_code,matched_deal_sector,matched_deal_owner,matched_deal_status,matched_deal_date,confidence_tier,match_score,match_notes
SDPLDEAL-079,Trunks,WOCOMPANY_015,COMPANY015,Railways,OWNER_003,2025-07-01,,,,,,,,UNMATCHED,-10.0,Below confidence threshold (best score -10): Exact Deal Name; Conflicting Sector; Matching Owner; Dead Deal Status
SDPLDEAL-080,Tuxedo Mask,WOCOMPANY_052,COMPANY052,Mining,OWNER_003,2025-04-01,294.0,Tuxedo Mask,COMPANY131,Powerline,OWNER_003,Won,,MATCHED_FUZZY,55.0,"Fuzzy composite match (55 pts, margin 1054): Exact Deal Name; Conflicting Sector; Matching Owner; Status: Won"
SDPLDEAL-081,Timon,WOCOMPANY_046,COMPANY046,Renewables,OWNER_001,2025-06-27,285.0,Timon,COMPANY038,Renewables,OWNER_001,Won,,MATCHED_HIGH,110.0,"High confidence composite match (110 pts, margin 25): Exact Deal Name; Matching Sector; Matching Owner; Status: Won"
SDPLDEAL-082,Timon,WOCOMPANY_046,COMPANY046,Renewables,OWNER_001,2025-06-19,285.0,Timon,COMPANY038,Renewables,OWNER_001,Won,,MATCHED_HIGH,110.0,"High confidence composite match (110 pts, margin 25): Exact Deal Name; Matching Sector; Matching Owner; Status: Won"
SDPLDEAL-083,Subaru,WOCOMPANY_019,COMPANY019,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-084,Tuxedo Mask,WOCOMPANY_041,COMPANY041,Renewables,OWNER_003,2025-06-21,294.0,Tuxedo Mask,COMPANY131,Powerline,OWNER_003,Won,,MATCHED_FUZZY,55.0,"Fuzzy composite match (55 pts, margin 1054): Exact Deal Name; Conflicting Sector; Matching Owner; Status: Won"
SDPLDEAL-085,Luffy,WOCOMPANY_032,COMPANY032,Renewables,OWNER_003,2025-06-21,34.0,Luffy,COMPANY093,Tender,OWNER_003,Open,,MATCHED_FUZZY,75.0,"Fuzzy composite match (75 pts, margin 1074): Exact Deal Name; Related Sector (tender); Matching Owner; Status: Open"
SDPLDEAL-086,Alias_162,WOCOMPANY_052,COMPANY052,Mining,OWNER_001,2024-07-22,,,,,,,,UNMATCHED,90.0,"Ambiguous multiple candidates (best score 90, runner-up 85, margin 5)"
SDPLDEAL-087,Alias_162,WOCOMPANY_052,COMPANY052,Mining,OWNER_001,2025-08-08,330.0,Alias_162,COMPANY086,Mining,OWNER_001,Won,2025-12-17,MATCHED_HIGH,115.0,"High confidence composite match (115 pts, margin 30): Exact Deal Name; Matching Sector; Matching Owner; Status: Won; Date within 131d"
SDPLDEAL-088,Mojo Jojo,WOCOMPANY_036,COMPANY036,Mining,OWNER_001,2025-04-26,,,,,,,,UNMATCHED,95.0,"Ambiguous multiple candidates (best score 95, runner-up 85, margin 10)"
SDPLDEAL-089,Obito,WOCOMPANY_023,COMPANY023,Mining,OWNER_003,2025-07-09,,,,,,,,UNMATCHED,-10.0,Below confidence threshold (best score -10): Exact Deal Name; Conflicting Sector; Matching Owner; Dead Deal Status
SDPLDEAL-090,Mojo Jojo,WOCOMPANY_036,COMPANY036,Mining,OWNER_001,2025-04-15,,,,,,,,UNMATCHED,95.0,"Ambiguous multiple candidates (best score 95, runner-up 85, margin 10)"
